ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
09-03,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Cognitive Distortions / Adults,"Strohmeier, C. W.; Rosenfield, B.; DiTomasso, R. A.; Ramsay, J. R.",2016,"Assessment of the relationship between self-reported cognitive distortions and adult ADHD, anxiety, depression, and hopelessness",Psychiatry Research,"238, 153-158",Clinical correlational study,30 adults diagnosed with ADHD in a university-based specialty clinic,10.1016/j.psychres.2016.02.034,https://doi.org/10.1016/j.psychres.2016.02.034,https://pubmed.ncbi.nlm.nih.gov/27086226/,Publisher access,LINK ONLY - Elsevier copyright,ADHD; Cognitive Distortions; Perfectionism; Emotional Reasoning; Avoidance; Procrastination; Adults; CBT,09_2016_Strohmeier_Cognitive-Distortions-Adult-ADHD.pdf
09-04,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Dysfunctional Cognitions / CBT Model / Adults,"Torrente, F.; Lopez, P.; Alvarez Prado, D.; Kichic, R.; Cetkovich-Bakmas, M.; Lischinsky, A.; Manes, F.",2014,"Dysfunctional cognitions and their emotional, behavioral, and functional correlates in adults with attention deficit hyperactivity disorder (ADHD): is the cognitive-behavioral model valid?",Journal of Attention Disorders,"18(5), 412-424",Case-control clinical study,"35 adults with ADHD, 20 nonclinical controls, and 20 non-ADHD clinical controls",10.1177/1087054712443153,https://doi.org/10.1177/1087054712443153,https://pubmed.ncbi.nlm.nih.gov/22628149/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Dysfunctional Cognitions; Automatic Thoughts; Dysfunctional Beliefs; Coping; Depression; Anxiety; Adults,09_2014_Torrente_Dysfunctional-Cognitions-Adult-ADHD.pdf
09-05,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Maladaptive Cognitions / Emotional Symptoms / Quality of Life,"Pan, M.-R.; Zhang, S.-Y.; Chen, C.-L.; Qiu, S.-W.; Liu, L.; Li, H.-M.; Zhao, M.-J.; Dong, M.; Si, F.-F.; Wang, Y.-F.; Qian, Q.-J.",2023,"Bidirectional associations between maladaptive cognitions and emotional symptoms, and their mediating role on the quality of life in adults with ADHD: a mediation model",Frontiers in Psychiatry,"14, 1200522",Cross-sectional clinical study with structural equation modeling,299 adults with ADHD and 122 healthy controls,10.3389/fpsyt.2023.1200522,https://doi.org/10.3389/fpsyt.2023.1200522,https://pmc.ncbi.nlm.nih.gov/articles/PMC10400449/,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Maladaptive Cognitions; Automatic Thoughts; Dysfunctional Attitudes; Emotional Symptoms; Quality of Life; Adults; Open Access,09_2023_Pan_Maladaptive-Cognitions-ADHD-QoL.pdf
09-06,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Dysfunctional Attitudes / Avoidance / Depression,"Knouse, L. E.; Zvorsky, I.; Safren, S. A.",2013,Depression in Adults with Attention-Deficit/Hyperactivity Disorder (ADHD): The Mediating Role of Cognitive-Behavioral Factors,Cognitive Therapy and Research,"37(6), 1220-1232",Clinical mediation study,77 adults clinically diagnosed with ADHD,10.1007/s10608-013-9569-5,https://doi.org/10.1007/s10608-013-9569-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC4469239/,Yes - PMC author manuscript,LINK ONLY - publisher/manuscript redistribution rights not independently cleared,ADHD; Dysfunctional Attitudes; Avoidance; Depression; Cognitive Restructuring; Adults; CBT,09_2013_Knouse_Dysfunctional-Attitudes-ADHD-Depression.pdf
09-07,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,CBT / Automatic Thoughts / Randomized Trial,"Pan, M.-R.; Zhang, S.-Y.; Qiu, S.-W.; Liu, L.; Li, H.-M.; Zhao, M.-J.; Dong, M.; Si, F.-F.; Wang, Y.-F.; Qian, Q.-J.",2022,Efficacy of cognitive behavioural therapy in medicated adults with attention-deficit/hyperactivity disorder in multiple dimensions: a randomised controlled trial,European Archives of Psychiatry and Clinical Neuroscience,"272(2), 235-255",Randomized controlled trial,98 medicated adults with ADHD randomized to CBT plus medication or medication only,10.1007/s00406-021-01236-0,https://doi.org/10.1007/s00406-021-01236-0,https://pubmed.ncbi.nlm.nih.gov/33615398/,Publisher access,LINK ONLY - Springer copyright,ADHD; Adults; CBT; Automatic Thoughts; Maladaptive Thoughts; Anxiety; Depression; RCT,09_2022_Pan_CBT-Automatic-Thoughts-ADHD-RCT.pdf
09-08,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,CBT / Maladaptive Cognitions / Long-Term Follow-up,"Pan, M.-R.; Dong, M.; Zhang, S.-Y.; Liu, L.; Li, H.-M.; Wang, Y.-F.; Qian, Q.-J.",2024,One-year follow-up of the effectiveness and mediators of cognitive behavioural therapy among adults with attention-deficit/hyperactivity disorder: secondary outcomes of a randomised controlled trial,BMC Psychiatry,"24(1), 207",One-year randomized-trial follow-up and mediation analysis,98 medicated adults with ADHD from the original randomized trial,10.1186/s12888-024-05673-8,https://doi.org/10.1186/s12888-024-05673-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC10943890/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Adults; CBT; Maladaptive Cognitions; Automatic Thoughts; Dysfunctional Attitudes; Quality of Life; Mediation; Open Access,09_2024_Pan_CBT-Maladaptive-Cognitions-Followup.pdf
09-09,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,CBT / Adults / Meta-analysis,"Liu, C.-I.; Hua, M.-H.; Lu, M.-L.; Goh, K. K.",2023,Effectiveness of cognitive behavioural-based interventions for adults with attention-deficit/hyperactivity disorder extends beyond core symptoms: A meta-analysis of randomized controlled trials,"Psychology and Psychotherapy: Theory, Research and Practice","96(3), 543-559",Systematic review and meta-analysis of randomized controlled trials,28 randomized studies of CBT-based interventions for adults with ADHD,10.1111/papt.12455,https://doi.org/10.1111/papt.12455,https://pubmed.ncbi.nlm.nih.gov/36794797/,Publisher access,LINK ONLY - Wiley/BPS copyright,ADHD; Adults; CBT; Cognitive Restructuring; Emotional Symptoms; Self-Esteem; Quality of Life; Meta-analysis,09_2023_Liu_CBT-Adult-ADHD-Meta-Analysis.pdf
09-10,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Attributional Style / Self-Perception / Longitudinal,"McQuade, J. D.; Hoza, B.; Waschbusch, D. A.; Murray-Close, D.; Owens, J. S.",2011,Changes in self-perceptions in children with ADHD: a longitudinal study of depressive symptoms and attributional style,Behavior Therapy,"42(2), 170-182",Longitudinal cohort study,88 boys with ADHD assessed at baseline and at 2- to 3-year follow-up,10.1016/j.beth.2010.05.003,https://doi.org/10.1016/j.beth.2010.05.003,https://pmc.ncbi.nlm.nih.gov/articles/PMC3990436/,Yes - PMC author manuscript,LINK ONLY - Elsevier copyright / manuscript redistribution rights not independently cleared,ADHD; Children; Attributional Style; Self-Perception; Depression; Cognitive Bias; Longitudinal,09_2011_McQuade_Self-Perception-Attributional-Style.pdf
09-11,09. Scaffold 9 - Understanding Cognitive Distortions,Final,,Self-Perception Bias / Positive Illusory Bias / Review,"Owens, J. S.; Goldfine, M. E.; Evangelista, N. M.; Hoza, B.; Kaiser, N. M.",2007,A critical review of self-perceptions and the positive illusory bias in children with ADHD,Clinical Child and Family Psychology Review,"10(4), 335-351",Critical peer-reviewed review,Child ADHD self-perception and positive illusory bias literature,10.1007/s10567-007-0027-3,https://doi.org/10.1007/s10567-007-0027-3,https://pubmed.ncbi.nlm.nih.gov/17902055/,Publisher access,LINK ONLY - Springer copyright,ADHD; Children; Cognitive Bias; Positive Illusory Bias; Self-Perception; Self-Concept; Review,09_2007_Owens_Positive-Illusory-Bias-Review.pdf
09-P1-01,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Negative Cognitive Errors / Automatic Thoughts / Youth,"Ucuz, I.; Uzun Cicek, A.; Temelli, G.",2026,Automatic and negative thought patterns in children and adolescents with ADHD: associations with anxiety and self-esteem in a cross-sectional study,BMC Pediatrics,Advance online publication,Cross-sectional case-control study,279 participants ages 9-15; 127 with ADHD and 152 controls,10.1186/s12887-026-07562-3,https://doi.org/10.1186/s12887-026-07562-3,https://link.springer.com/article/10.1186/s12887-026-07562-3,Yes - open access,LINK ONLY for commercial website - CC BY-NC-ND 4.0,ADHD; Cognitive Distortions; Negative Cognitive Errors; Automatic Thoughts; Anxiety; Self-Esteem; Children; Adolescents,09_2026_Ucuz_Negative-Cognitive-Errors-ADHD-Youth.pdf
09-P1-02,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Schemas / Dysfunctional Automatic Thoughts / Emerging Adults,"Pickel, C. T.; Wymbs, B. T.",2026,"ADHD Symptoms, Maladaptive Schemas, and Dysfunctional Automatic Thoughts: Exploring Theorized Relationships in Emerging Adults",Journal of Attention Disorders,OnlineFirst,Cross-sectional community study,141 emerging adults; mean age 19.84; 20% reported an ADHD diagnosis,10.1177/10870547261478353,https://doi.org/10.1177/10870547261478353,https://pubmed.ncbi.nlm.nih.gov/42587416/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Schemas; Automatic Thoughts; Negative Automatic Thoughts; Avoidant Thoughts; Impairment; CBT; Emerging Adults,09_2026_Pickel_ADHD-Schemas-Automatic-Thoughts.pdf
09-P1-03,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Cognitive Distortions / Adults,"Strohmeier, C. W.; Rosenfield, B.; DiTomasso, R. A.; Ramsay, J. R.",2016,"Assessment of the relationship between self-reported cognitive distortions and adult ADHD, anxiety, depression, and hopelessness",Psychiatry Research,"238, 153-158",Clinical chart-review correlational study,30 adults diagnosed with ADHD in a university-based specialty clinic,10.1016/j.psychres.2016.02.034,https://doi.org/10.1016/j.psychres.2016.02.034,https://pubmed.ncbi.nlm.nih.gov/27086226/,Publisher access,LINK ONLY - Elsevier copyright,ADHD; Cognitive Distortions; Perfectionism; Emotional Reasoning; Avoidance; Procrastination; Adults; CBT,09_2016_Strohmeier_Cognitive-Distortions-Adult-ADHD.pdf
09-P1-04,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Dysfunctional Cognitions / CBT Model / Adults,"Torrente, F.; Lopez, P.; Alvarez Prado, D.; Kichic, R.; Cetkovich-Bakmas, M.; Lischinsky, A.; Manes, F.",2014,"Dysfunctional Cognitions and their Emotional, Behavioral, and Functional Correlates in Adults with Attention Deficit Hyperactivity Disorder (ADHD): Is the Cognitive-Behavioral Model Valid?",Journal of Attention Disorders,"18(5), 412-424",Case-control clinical study,"35 adults with ADHD, 20 nonclinical controls, and 20 non-ADHD clinical controls",10.1177/1087054712443153,https://doi.org/10.1177/1087054712443153,https://pubmed.ncbi.nlm.nih.gov/22628149/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Dysfunctional Cognitions; Automatic Thoughts; Dysfunctional Beliefs; Coping; Depression; Anxiety; Adults,09_2014_Torrente_Dysfunctional-Cognitions-Adult-ADHD.pdf
09-P1-05,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Maladaptive Cognitions / Emotional Symptoms / Quality of Life,"Pan, M.-R.; Zhang, S.-Y.; Chen, C.-L.; Qiu, S.-W.; Liu, L.; Li, H.-M.; Zhao, M.-J.; Dong, M.; Si, F.-F.; Wang, Y.-F.; Qian, Q.-J.",2023,"Bidirectional associations between maladaptive cognitions and emotional symptoms, and their mediating role on the quality of life in adults with ADHD: a mediation model",Frontiers in Psychiatry,"14, 1200522",Cross-sectional clinical study with structural equation modeling,299 adults with ADHD and 122 healthy controls,10.3389/fpsyt.2023.1200522,https://doi.org/10.3389/fpsyt.2023.1200522,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2023.1200522/full,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Maladaptive Cognitions; Automatic Thoughts; Dysfunctional Attitudes; Emotional Symptoms; Quality of Life; Adults; Open Access,09_2023_Pan_Maladaptive-Cognitions-ADHD-QoL.pdf
09-P1-06,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Dysfunctional Attitudes / Avoidance / Depression,"Knouse, L. E.; Zvorsky, I.; Safren, S. A.",2013,Depression in Adults with Attention-Deficit/Hyperactivity Disorder (ADHD): The Mediating Role of Cognitive-Behavioral Factors,Cognitive Therapy and Research,"37(6), 1220-1232",Clinical mediation study,77 adults clinically diagnosed with ADHD,10.1007/s10608-013-9569-5,https://doi.org/10.1007/s10608-013-9569-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC4469239/,Yes - PMC author manuscript,LINK ONLY - publisher/manuscript redistribution rights not independently cleared,ADHD; Dysfunctional Attitudes; Avoidance; Depression; Cognitive Restructuring; Adults; CBT,09_2013_Knouse_Dysfunctional-Attitudes-ADHD-Depression.pdf
09-P1-07,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,CBT Conceptual Model / Mechanisms of Change,"Ramsay, J. R.",2010,CBT for Adult ADHD: Adaptations and Hypothesized Mechanisms of Change,Journal of Cognitive Psychotherapy,"24(1), 37-45",Peer-reviewed clinical/theoretical review,Adult ADHD cognitive-behavioral treatment model and proposed mechanisms,10.1891/0889-8391.24.1.37,https://doi.org/10.1891/0889-8391.24.1.37,https://doi.org/10.1891/0889-8391.24.1.37,Publisher/author access,LINK ONLY - publisher copyright,ADHD; Adults; CBT; Cognitive Restructuring; Automatic Thoughts; Executive Function; Mechanisms of Change,09_2010_Ramsay_CBT-Adult-ADHD-Mechanisms.pdf
09-P1-08,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,CBT / Automatic Thoughts / Randomized Trial,"Pan, M.-R.; Zhang, S.-Y.; Qiu, S.-W.; Liu, L.; Li, H.-M.; Zhao, M.-J.; Dong, M.; Si, F.-F.; Wang, Y.-F.; Qian, Q.-J.",2022,Efficacy of cognitive behavioural therapy in medicated adults with attention-deficit/hyperactivity disorder in multiple dimensions: a randomised controlled trial,European Archives of Psychiatry and Clinical Neuroscience,"272(2), 235-255",Randomized controlled trial,98 medicated adults with ADHD randomized to CBT plus medication or medication only,10.1007/s00406-021-01236-0,https://doi.org/10.1007/s00406-021-01236-0,https://pubmed.ncbi.nlm.nih.gov/33615398/,Publisher access,LINK ONLY - Springer copyright,ADHD; Adults; CBT; Automatic Thoughts; Maladaptive Thoughts; Anxiety; Depression; RCT,09_2022_Pan_CBT-Automatic-Thoughts-ADHD-RCT.pdf
09-P1-09,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,CBT / Maladaptive Cognitions / Long-Term Follow-up,"Pan, M.-R.; Dong, M.; Zhang, S.-Y.; Liu, L.; Li, H.-M.; Wang, Y.-F.; Qian, Q.-J.",2024,One-year follow-up of the effectiveness and mediators of cognitive behavioural therapy among adults with attention-deficit/hyperactivity disorder: secondary outcomes of a randomised controlled trial,BMC Psychiatry,"24, 207",One-year randomized-trial follow-up and mediation analysis,98 medicated adults with ADHD from the original randomized trial,10.1186/s12888-024-05673-8,https://doi.org/10.1186/s12888-024-05673-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC10943890/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Adults; CBT; Maladaptive Cognitions; Automatic Thoughts; Dysfunctional Attitudes; Quality of Life; Mediation; Open Access,09_2024_Pan_CBT-Maladaptive-Cognitions-Followup.pdf
09-P1-10,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,CBT / Adults / Meta-analysis,"Liu, C.-I.; Hua, M.-H.; Lu, M.-L.; Goh, K. K.",2023,Effectiveness of cognitive behavioural-based interventions for adults with attention-deficit/hyperactivity disorder extends beyond core symptoms: A meta-analysis of randomized controlled trials,"Psychology and Psychotherapy: Theory, Research and Practice","96(3), 543-559",Systematic review and meta-analysis of randomized controlled trials,28 randomized studies of CBT-based interventions for adults with ADHD,10.1111/papt.12455,https://doi.org/10.1111/papt.12455,https://pubmed.ncbi.nlm.nih.gov/36794797/,Publisher access,LINK ONLY - Wiley/BPS copyright,ADHD; Adults; CBT; Cognitive Restructuring; Emotional Symptoms; Self-Esteem; Quality of Life; Meta-analysis,09_2023_Liu_CBT-Adult-ADHD-Meta-Analysis.pdf
09-P1-11,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,CBT / Cognitive Restructuring / Adult RCT,"Safren, S. A.; Sprich, S.; Mimiaga, M. J.; Surman, C.; Knouse, L.; Groves, M.; Otto, M. W.",2010,Cognitive Behavioral Therapy vs Relaxation With Educational Support for Medication-Treated Adults With ADHD and Persistent Symptoms: A Randomized Controlled Trial,JAMA,"304(8), 875-880",Randomized controlled trial,86 medication-treated adults with persistent ADHD symptoms,10.1001/jama.2010.1192,https://doi.org/10.1001/jama.2010.1192,https://pmc.ncbi.nlm.nih.gov/articles/PMC3641654/,Yes - PMC author manuscript,LINK ONLY - JAMA copyright / manuscript redistribution rights not independently cleared,ADHD; Adults; CBT; Cognitive Restructuring; Adaptive Thinking; RCT; Persistent Symptoms,09_2010_Safren_CBT-Adult-ADHD-RCT.pdf
09-P1-12,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Attributional Style / Self-Perception / Depression,"McQuade, J. D.; Hoza, B.; Waschbusch, D. A.; Murray-Close, D.; Owens, J. S.",2011,Changes in self-perceptions in children with ADHD: a longitudinal study of depressive symptoms and attributional style,Behavior Therapy,"42(2), 170-182",Longitudinal cohort study,88 boys with ADHD assessed at baseline and 2- to 3-year follow-up,10.1016/j.beth.2010.05.003,https://doi.org/10.1016/j.beth.2010.05.003,https://pmc.ncbi.nlm.nih.gov/articles/PMC3990436/,Yes - PMC author manuscript,LINK ONLY - Elsevier copyright / manuscript redistribution rights not independently cleared,ADHD; Children; Attributional Style; Self-Perception; Depression; Cognitive Bias; Longitudinal,09_2011_McQuade_Self-Perception-Attributional-Style.pdf
09-P1-13,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Self-Perception Bias / Positive Illusory Bias / Review,"Owens, J. S.; Goldfine, M. E.; Evangelista, N. M.; Hoza, B.; Kaiser, N. M.",2007,A critical review of self-perceptions and the positive illusory bias in children with ADHD,Clinical Child and Family Psychology Review,"10(4), 335-351",Critical peer-reviewed review,Child ADHD self-perception and positive illusory bias literature,10.1007/s10567-007-0027-3,https://doi.org/10.1007/s10567-007-0027-3,https://pubmed.ncbi.nlm.nih.gov/17902055/,Publisher access,LINK ONLY - Springer copyright,ADHD; Children; Cognitive Bias; Positive Illusory Bias; Self-Perception; Self-Concept; Review,09_2007_Owens_Positive-Illusory-Bias-Review.pdf
09-P1-14,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Self-Perception Bias / Children / Large Clinical Sample,"Hoza, B.; Gerdes, A. C.; Hinshaw, S. P.; Arnold, L. E.; Pelham, W. E. Jr.; Molina, B. S. G.; Abikoff, H. B.; Epstein, J. N.; Greenhill, L. L.; Hechtman, L.; Odbert, C.; Swanson, J. M.; Wigal, T.",2004,Self-perceptions of competence in children with ADHD and comparison children,Journal of Consulting and Clinical Psychology,"72(3), 382-391",Comparative clinical study,487 children with ADHD and 287 local normative comparison children,10.1037/0022-006X.72.3.382,https://doi.org/10.1037/0022-006X.72.3.382,https://pubmed.ncbi.nlm.nih.gov/15279522/,Publisher access,LINK ONLY - APA copyright,ADHD; Children; Self-Perception; Competence; Positive Illusory Bias; Cognitive Bias; MTA,09_2004_Hoza_Self-Perceptions-Competence-ADHD.pdf
09-P1-15,09. Scaffold 9 - Understanding Cognitive Distortions,Candidate,Pass 1,Self-Perception Bias / Modifiability,"Hoza, B.; Vaughn, A.; Waschbusch, D. A.; Murray-Close, D.; McCabe, G.",2012,Can children with ADHD be motivated to reduce bias in self-reports of competence?,Journal of Consulting and Clinical Psychology,"80(2), 245-254",Experimental self-perception study,178 children with ADHD and 86 comparison children ages 7-12,10.1037/a0027299,https://doi.org/10.1037/a0027299,https://pmc.ncbi.nlm.nih.gov/articles/PMC3340979/,Yes - PMC author manuscript,LINK ONLY - APA copyright / manuscript redistribution rights not independently cleared,ADHD; Children; Cognitive Bias; Self-Perception; Positive Illusory Bias; Metacognition; Experimental,09_2012_Hoza_Reducing-Self-Perception-Bias-ADHD.pdf
10-01,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Rejection Sensitivity / Lived Experience / ADHD,"Rowney-Smith, A.; Sutton, B.; Quadt, L.; Eccles, J. A.",2026,The lived experiences of rejection sensitivity in ADHD - A qualitative exploration,PLOS ONE,"21(1), e0314669",Qualitative focus-group study,Five undergraduate students with ADHD; thematic analysis of rejection-sensitivity experiences,10.1371/journal.pone.0314669,https://doi.org/10.1371/journal.pone.0314669,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314669,Yes - open access,REHOST PERMITTED - CC BY with attribution; title corrected by PLOS in March 2026,ADHD; Rejection Sensitivity; Criticism; Masking; Withdrawal; Emotional Dysregulation; Qualitative; Open Access,10_2026_Rowney-Smith_Lived-Experiences-Rejection-Sensitivity-ADHD.pdf
10-02,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Rejection Sensitivity / Justice Sensitivity / Youth,"Bondu, R.; Esser, G.",2015,Justice and rejection sensitivity in children and adolescents with ADHD symptoms,European Child & Adolescent Psychiatry,"24(2), 185-198",Large cross-sectional community study,"1,235 German youth ages 10-19; ADHD symptoms, anxious and angry rejection sensitivity, justice sensitivity, depressive symptoms, conduct problems, and self-esteem",10.1007/s00787-014-0560-9,https://doi.org/10.1007/s00787-014-0560-9,https://pubmed.ncbi.nlm.nih.gov/24878677/,Publisher access,LINK ONLY - Springer copyright,ADHD; Rejection Sensitivity; Anxious Rejection Sensitivity; Angry Rejection Sensitivity; Justice Sensitivity; Adolescents; Self-Esteem,10_2015_Bondu_Justice-Rejection-Sensitivity-ADHD-Youth.pdf
10-03,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Rejection Sensitivity / Adult Relationships / Mixed Evidence,"Canu, W. H.; Carlson, C. L.",2007,Rejection Sensitivity and Social Outcomes of Young Adult Men With ADHD,Journal of Attention Disorders,"10(3), 261-275",Case-control questionnaire study,"78 undergraduate men: 31 ADHD combined type, 22 ADHD primarily inattentive type, and 25 non-diagnosed controls",10.1177/1087054706288106,https://doi.org/10.1177/1087054706288106,https://pubmed.ncbi.nlm.nih.gov/17242422/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Rejection Sensitivity; Adults; Relationships; Self-Esteem; Social Outcomes; Mixed Findings,10_2007_Canu_Carlson_Rejection-Sensitivity-Adult-ADHD.pdf
10-04,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Peer Feedback / Rejection Sensitivity / Neurophysiology,"Babinski, D. E.; Kujawa, A.; Kessel, E. M.; Arfer, K. B.; Klein, D. N.",2019,Sensitivity to Peer Feedback in Young Adolescents with Symptoms of ADHD: Examination of Neurophysiological and Self-Report Measures,Journal of Abnormal Child Psychology,"47(4), 605-617",Community neurophysiological and self-report study,391 adolescents ages 10-15; ERP responses to peer acceptance/rejection plus self-reported rejection sensitivity,10.1007/s10802-018-0470-2,https://doi.org/10.1007/s10802-018-0470-2,https://pmc.ncbi.nlm.nih.gov/articles/PMC6395560/,Yes - PMC author manuscript,LINK ONLY - publisher/manuscript redistribution rights not independently cleared,ADHD; Rejection Sensitivity; Peer Feedback; Social Rejection; Social Acceptance; ERP; Adolescents; Neurophysiology,10_2019_Babinski_Peer-Feedback-Rejection-Sensitivity-ADHD.pdf
10-05,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Social Rejection / Physiological Reactivity / Emotion Dysregulation,"McQuade, J. D.; Breaux, R. P.",2017,Are Elevations in ADHD Symptoms Associated with Physiological Reactivity and Emotion Dysregulation in Children?,Journal of Abnormal Child Psychology,"45(6), 1091-1103",Psychophysiological experimental study,61 children ages 9-13 with and without clinical elevations in ADHD symptoms; manipulated social rejection and failure tasks with RSA and skin-conductance measures,10.1007/s10802-016-0227-8,https://doi.org/10.1007/s10802-016-0227-8,https://pubmed.ncbi.nlm.nih.gov/27838892/,Publisher access,LINK ONLY - Springer copyright,ADHD; Social Rejection; Emotion Dysregulation; Physiological Reactivity; RSA; Children; Stress Response,10_2017_McQuade_Breaux_Social-Rejection-Physiology-ADHD.pdf
10-06,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Criticism / Lived Experience / Adults,"Beaton, D. M.; Sirois, F.; Milne, E.",2022,Experiences of criticism in adults with ADHD: A qualitative study,PLOS ONE,"17(2), e0263366",Qualitative thematic-analysis study,"162 adults with ADHD or high ADHD traits; written accounts of criticism from family, friends, and colleagues",10.1371/journal.pone.0263366,https://doi.org/10.1371/journal.pone.0263366,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263366,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Criticism; Rejection; Self-Worth; Well-Being; Avoidance; Adults; Qualitative; Open Access,10_2022_Beaton_Experiences-Criticism-Adults-ADHD.pdf
10-07,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Peer Rejection / Social Functioning / Meta-analysis,"Ros, R.; Graziano, P. A.",2018,Social Functioning in Children With or At Risk for Attention Deficit/Hyperactivity Disorder: A Meta-Analytic Review,Journal of Clinical Child & Adolescent Psychology,"47(2), 213-235",Meta-analysis,"109 studies; 104,813 participants; peer functioning, social skills, and social information processing",10.1080/15374416.2016.1266644,https://doi.org/10.1080/15374416.2016.1266644,https://pubmed.ncbi.nlm.nih.gov/28128989/,Publisher access,LINK ONLY - Taylor & Francis copyright,ADHD; Peer Rejection; Social Functioning; Social Skills; Social Cognition; Children; Meta-analysis,10_2018_Ros_Graziano_Social-Functioning-ADHD-Meta-Analysis.pdf
10-08,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Friendship / Peer Rejection / Systematic Review,"Spender, K.; Chen, Y.-W. R.; Wilkes-Gillan, S.; Parsons, L.; Cantrill, A.; Simon, M.; Garcia, A.; Cordier, R.",2023,The friendships of children and youth with attention-deficit hyperactivity disorder: A systematic review,PLOS ONE,"18(8), e0289539",Systematic review,"24 studies; 1,509 participants with ADHD and 1,197 typically developing comparison participants",10.1371/journal.pone.0289539,https://doi.org/10.1371/journal.pone.0289539,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0289539,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Friendship; Peer Rejection; Peer Victimization; Friendship Quality; Children; Adolescents; Systematic Review; Open Access,10_2023_Spender_Friendships-ADHD-Systematic-Review.pdf
10-09,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Peer Rejection / Long-Term Outcomes / MTA,"Mrug, S.; Molina, B. S. G.; Hoza, B.; Gerdes, A. C.; Hinshaw, S. P.; Hechtman, L.; Arnold, L. E.",2012,Peer rejection and friendships in children with Attention-Deficit/Hyperactivity Disorder: contributions to long-term outcomes,Journal of Abnormal Child Psychology,"40(6), 1013-1026",Eight-year longitudinal cohort study,300 children with ADHD combined type from the Multimodal Treatment Study of Children with ADHD,10.1007/s10802-012-9610-2,https://doi.org/10.1007/s10802-012-9610-2,https://pmc.ncbi.nlm.nih.gov/articles/PMC3384771/,Yes - PMC author manuscript,LINK ONLY - Springer copyright / manuscript redistribution rights not independently cleared,ADHD; Peer Rejection; Friendship; Long-Term Outcomes; Anxiety; Global Impairment; MTA; Longitudinal,10_2012_Mrug_Peer-Rejection-Long-Term-Outcomes-ADHD.pdf
