ID,Section,Resource Type,Author / Speaker,Title,Publication / Platform,Date,URL,Why It Matters,Scaffold Relevance,Audience,Access Notes,Status
06-R04,06. Scaffold 6 - Journaling & Writing: The Personal Inventory,Mainstream science feature,Christiane Gelitz,Know Yourself Better by Writing What Pops into Your Head,Scientific American,"October 6, 2023",https://www.scientificamerican.com/article/know-yourself-better-by-writing-what-pops-into-your-head/,"Explores therapeutic and reflective writing as a way of turning vague internal experience into language that can be examined. It presents writing as a form of mental hygiene that may improve self-knowledge, reduce stress, and reveal themes that are difficult to notice while thoughts remain unstructured.","Supports the 'write first, interpret second' part of the inventory. Capturing thoughts without excessive editing can reveal recurring worries, avoidance patterns, motivations, or emotional triggers that later become targets for practical scaffolds.",General readers; adults with ADHD; clinicians; students,Scientific American article; access may vary by subscription.,Final
06-R05,06. Scaffold 6 - Journaling & Writing: The Personal Inventory,Mainstream reported feature / lived experience,Jillian Anthony,The transformative power of journaling,Vox,"Updated February 6, 2025",https://www.vox.com/life/393304/journaling-how-to-artists-way-shadow-work-mental-health-habit-goals,"Combines the author's sustained journaling practice with interviews about expressive writing, journal therapy, creativity, and the recent popularity of guided journals. Importantly, it also discusses limits, including the possibility that unstructured trauma writing can become overwhelming.","Particularly useful for the inventory concept because it recommends using journals to track goals and progress, periodically review where you stalled, notice what changed, and make the next plan. It also reinforces that digital, handwritten, dictated, prompted, and free-form approaches are all legitimate.",Adults with ADHD; general readers; creative professionals; people beginning a reflective practice,"Public Vox feature. Journaling is a support, not a substitute for psychotherapy, and highly distressing trauma material may benefit from structured professional guidance.",Final
07-R01,"07. Scaffold 7 - Somatic Work, Breathing & Body Awareness",Psychologist-written public article,"Susan M. Pollak, EdD",Mindfulness and ADHD,Psychology Today,"April 18, 2015",https://www.psychologytoday.com/us/blog/the-art-now/201504/mindfulness-and-adhd,"Pollak, a psychologist and Harvard Medical School clinical instructor, addresses the apparent contradiction of asking someone with ADHD to practice mindfulness and gives a short, concrete exercise built around noticing thoughts, bodily sensations, and the breath.","Excellent fit for a scaffold because the practice is intentionally brief, uses a timer, allows sitting or standing, and treats distraction as something to notice and return from rather than as failure.",Adults with ADHD; clinicians; parents; general readers,Free public Psychology Today article,Final
07-R02,"07. Scaffold 7 - Somatic Work, Breathing & Body Awareness",Mainstream science feature,Norman Farb and colleagues / Scientific American contributors,Paying Attention to Sensations Can Help Reset the Mind,Scientific American,2024,https://www.scientificamerican.com/article/paying-attention-to-sensations-can-help-reset-the-mind/,"This accessible science article explains interoception, the ability to notice internal bodily sensations, and connects sensory awareness with emotion, rumination, attention, and mental health. It also explains that interoceptive skills can be trained.","Provides a strong rationale for body scans, noticing muscle tension, breath awareness, yoga, sensory check-ins, and other practices that deliberately move attention from racing cognition back into present bodily experience.",General readers; adults with ADHD; clinicians; educators,Public-facing Scientific American science article; access may vary,Final
07-R03,"07. Scaffold 7 - Somatic Work, Breathing & Body Awareness",Mainstream reported science feature,David Robson,Interoception: the hidden sense that shapes wellbeing,The Guardian,"August 15, 2021",https://www.theguardian.com/science/2021/aug/15/the-hidden-sense-shaping-your-wellbeing-interoception,"Robson introduces interoception as an often-overlooked sense involving awareness and interpretation of internal signals such as heartbeat, breathing, hunger, and physiological arousal, drawing on interviews with researchers studying its relationship to well-being.","Helps readers understand why noticing internal states can matter before they become crises. It connects naturally to ADHD scaffolds around hunger, fatigue, overstimulation, emotional escalation, breathing, and recognizing when the body needs regulation.",General public; adults with ADHD; families; clinicians,Free Guardian science feature,Final
07-R04,"07. Scaffold 7 - Somatic Work, Breathing & Body Awareness",Mainstream magazine science article,TIME staff / contributing science writers,A Nation of Mini-Meditators,TIME,February 2015,https://time.com/3696861/a-nation-of-mini-meditators/,"TIME summarizes emerging research on mindfulness programs for children, including studies reporting improved self-control, social behavior, and reductions in ADHD-related symptoms and hyperactivity. It shows how body- and attention-based practices moved from specialist settings into ordinary schools.",Useful as a cultural and practical example of turning mindfulness into a routine environmental support rather than an abstract therapeutic concept. It makes the idea accessible to parents and educators who may be skeptical of formal meditation.,Parents; educators; general readers; families of children with ADHD,TIME article; access may vary by region or subscription status,Final
07-R05,"07. Scaffold 7 - Somatic Work, Breathing & Body Awareness",Medically reviewed practical article,"Corey Whelan; medically reviewed by Ifeanyi Olele, DO, MBA, MS, FAPA",8 Tips for ADHD Meditation,Healthline,"Updated February 26, 2025",https://www.healthline.com/health/adhd/adhd-meditation,The article translates mindfulness research into ordinary practice and acknowledges a basic reality for ADHD readers: sitting still and meditating in the traditional way may itself be difficult. It presents alternatives without portraying meditation as a replacement for established treatment.,"Especially useful because it allows movement-based meditation, comfortable positioning, short practice periods, breath anchoring, environmental modification, and routine-building. The emphasis is adaptation rather than performing mindfulness 'correctly.'",Adults and teens with ADHD; families; general readers,Free medically reviewed Healthline article,Final
08-R01,08. Scaffold 8 - Managing Clutter & Environmental Stimulation,Mainstream reported feature,Amanda Long,How to get organized at home when you have ADHD or mental health issues,The Washington Post,"October 31, 2021",https://www.washingtonpost.com/home/2021/10/31/adhd-home-organization-tips/,A strong general-audience piece that combines expert organizing advice with lived experience from KC Davis and others. It explicitly separates household disorder from moral failure and explains why clutter can become self-reinforcing when executive functioning is already strained.,"Excellent fit for functional environmental design: use bins instead of complicated storage, divide rooms into zones, reduce shame, use short cleaning bursts, body doubling, visible systems, and stop when a space is functional rather than perfect.",Adults with ADHD; partners; families; general readers,Washington Post article; access may vary by subscription status,Final
08-R02,08. Scaffold 8 - Managing Clutter & Environmental Stimulation,Expert interview,"The Book Brigade interviewing Kathleen Nadeau, PhD, and Judith Kolberg",ADD-Friendly Ways to Organize Your Life,Psychology Today,"January 12, 2017",https://www.psychologytoday.com/us/blog/the-author-speaks/201701/add-friendly-ways-to-organize-your-life,This interview pairs ADHD expertise with professional organizing expertise and explains why conventional organization systems often fail people with ADHD. It focuses on environment fit rather than treating disorganization as lack of effort.,"Directly supports designing an ADHD-friendly environment, limiting 'everything at the same time,' reducing digital and physical distraction, and building systems that make time, possessions, and information easier to manage.",Adults with ADHD; partners; clinicians; coaches; general readers,Free public Psychology Today article,Final
08-R03,08. Scaffold 8 - Managing Clutter & Environmental Stimulation,Mainstream home / lifestyle article,Shelby Deering,"Organizers Explain How ""Doom Piles"" Can Ruin Your Space",Good Housekeeping,"April 29, 2026",https://www.goodhousekeeping.com/home/organizing/a71163617/doom-piles-organizing-tips/,"This mainstream piece makes the ADHD-linked 'doom pile' phenomenon immediately recognizable without pathologizing it. ADHD-focused organizers explain how unfinished decisions, time blindness, burnout, and overly complicated storage systems allow piles to grow.","The recommendations are highly scaffold-friendly: designated drop zones, category sorting, 20-minute clutter sprints, before-and-after photos, and storage systems that require one simple action instead of multiple steps.",General readers; adults with ADHD; families; people struggling with household clutter,Free public Good Housekeeping article; access may vary,Final
08-R04,08. Scaffold 8 - Managing Clutter & Environmental Stimulation,Lived-experience / medically reviewed explainer,"Rachael Green; medically reviewed by Claire Eggleston, LMFT-Associate",ADHD Symptom Spotlight: Overstimulation,Verywell Mind,"Updated January 13, 2026",https://www.verywellmind.com/adhd-symptom-spotlight-overstimulation-5323859,"Combines research-backed explanation with first-person experience of sensory overload. It describes how competing noise, visual clutter, clothing sensations, and other environmental input can consume attention and lead to irritability, shutdown, or escape.","Useful for identifying sensory thresholds, planning sensory breaks, carrying headphones or other regulation tools, using movement or fidgeting, and deliberately creating environments with enough stimulation to support attention without becoming overwhelming.",Adults with ADHD; teens; partners; families; general readers,Free public article; medically reviewed,Final
08-R05,08. Scaffold 8 - Managing Clutter & Environmental Stimulation,Mainstream practical / first-person article,Mikhal Weiner,7 ADHD-Friendly Ways to Organize Your Fridge,Real Simple,"January 23, 2023",https://www.realsimple.com/7-adhd-friendly-ways-to-organize-your-fridge-7097655,"A particularly good example of redesigning a household system around actual ADHD behavior rather than conventional ideas of where things 'should' go. The author combines lived experience, expert commentary from Ari Tuckman, and strategies from ADHD creators.","Shows environmental scaffolding in miniature: put perishables where they remain visible, keep a shopping list on the refrigerator, use clear containers and labels, reduce decision fatigue, and arrange the environment so useful choices require less memory and fewer steps.",Adults with ADHD; families; general readers,Free public Real Simple article; access may vary,Final
09-R01,09. Scaffold 9 - Understanding Cognitive Distortions,Psychologist-written public article,"J. Russell Ramsay, PhD","Adult ADHD, Perfectionism, and Procrastination",Psychology Today,"December 29, 2020",https://www.psychologytoday.com/us/blog/rethinking-adult-adhd/202012/adult-adhd-perfectionism-and-procrastination,"Ramsay connects adult ADHD with perfectionistic thinking and procrastination, explaining how unrealistically high standards can become self-defeating and make both starting and finishing tasks harder.","Helps readers identify perfectionism as a thinking pattern rather than proof that a task truly must be done flawlessly. That creates room to lower the threshold for starting, define 'good enough,' and challenge rigid standards before they produce avoidance.",Adults with ADHD; clinicians; students; general readers,Free public Psychology Today article,Final
09-R02,09. Scaffold 9 - Understanding Cognitive Distortions,Mainstream reported feature,Matilda Boseley,Adult ADHD diagnosis: 'You've got to relook at your entire life',The Guardian,"October 8, 2022",https://www.theguardian.com/society/2022/oct/08/adult-adhd-diagnosis-youve-got-to-relook-at-your-entire-life,This feature captures the accumulated self-doubt and negative self-talk that can develop when ADHD-related difficulties are repeatedly interpreted as personal failures. It also shows how diagnosis can force adults to reconsider long-held explanations about themselves.,"Useful for examining the source of automatic thoughts such as 'I'm lazy,' 'I'm unreliable,' or 'I always fail.' The scaffold is not simply replacing negative thoughts with positive ones, but checking whether an old self-story accurately explains what is happening now.",Adults with ADHD; families; newly diagnosed readers; general public,Free Guardian feature,Final
09-R03,09. Scaffold 9 - Understanding Cognitive Distortions,Medically reviewed public explainer,"Sarah Choi; medically reviewed by Nicole Washington, DO, MPH","What is the All-or-Nothing Mindset in ADHD, and How Do I Change It?",Healthline,"August 29, 2025",https://www.healthline.com/health/adhd/all-or-nothing-mindset-and-adhd,"A direct, readable explanation of black-and-white thinking in ADHD, including the way perfectionism, fear of mistakes, and rigid expectations can turn ordinary setbacks into evidence of total failure.","Gives readers a recognizable distortion to watch for and encourages moving from binary judgments toward more graded, evidence-based interpretations. That is exactly the skill needed before a cognitive distortion can be challenged or reframed.",Adults and teens with ADHD; families; general readers,Free medically reviewed Healthline article,Final
09-R04,09. Scaffold 9 - Understanding Cognitive Distortions,Mainstream mental-health article,Verywell Mind editorial and clinical review team,How to Stop Catastrophizing and Jumping to the Worst-Case Scenario,Verywell Mind,2023,https://www.verywellmind.com/how-to-stop-catastrophizing-7693333,Explains catastrophizing in plain language as a tendency to jump from uncertainty to the worst possible outcome and then repeatedly rehearse that outcome as though it were likely or inevitable.,"Provides an accessible model for interrupting a distortion: notice the worst-case prediction, separate possibility from probability, identify evidence, return attention to the present, and generate a more proportionate interpretation.",General readers; adults with ADHD; people with anxiety; clinicians,Free public Verywell Mind article,Final
09-R05,09. Scaffold 9 - Understanding Cognitive Distortions,Psychologist-written mainstream article,"Mark Travers, PhD","5 'Thinking Errors' You Need To Unlearn For Good, By A Psychologist",Forbes,"January 24, 2025",https://www.forbes.com/sites/traversmark/2025/01/24/5-thinking-errors-you-need-to-unlearn-for-good-by-a-psychologist/,"A broad, approachable introduction to cognitive distortions for readers who may never encounter CBT terminology in a clinical setting. It frames thinking errors as common human tendencies rather than evidence that something is wrong with the person having them.","Useful as a general reference readers can return to when identifying patterns in their own thoughts. It reinforces the sequence of noticing a thought, naming the distortion, checking the evidence, and replacing it with a more accurate interpretation.",General readers; adults with ADHD; professionals; students,Public Forbes article; access may vary,Final
10-R01,10. Scaffold 10 - Understanding Rejection Sensitivity,Psychologist-written public article,Amanda Moses,Is Rejection Sensitivity Dysphoria Part of ADHD?,Psychology Today,"July 15, 2026",https://www.psychologytoday.com/us/blog/thinking-about-becoming-a-psychologist/202607/is-rejection-sensitivity-dysphoria-part-of-adhd,A particularly useful corrective to online overstatement. Moses explains why the term RSD resonates with many people with ADHD while clearly distinguishing the lived experience of rejection sensitivity from a formally recognized diagnosis.,"Supports naming the trigger, noticing shame or emotional escalation early, separating perceived rejection from confirmed rejection, and treating the response through emotional-regulation and self-concept work rather than assuming every painful social interpretation is accurate.",Adults with ADHD; clinicians; families; general readers,Free public Psychology Today article. Explicitly notes that RSD is not a DSM-5-TR or ICD-11 diagnosis and that the empirical base for RSD as a distinct construct remains limited.,Final
10-R02,10. Scaffold 10 - Understanding Rejection Sensitivity,Mainstream reported feature / lived experience,Emily Retter,The rise of rejection sensitive dysphoria: 'My chest feels like it's collapsing',The Guardian,"February 25, 2026",https://www.theguardian.com/society/2026/feb/25/rise-of-rejection-sensitive-dysphoria,"A long-form feature that makes the experience understandable through detailed first-person accounts of criticism, shame, panic, people-pleasing, perfectionism, and avoidance, while also presenting differing clinical views about RSD.","Shows why recognizing the sequence matters: trigger, interpretation, physical activation, shame or anger, then protective behavior. That sequence gives readers several places to intervene before perceived rejection determines the next action.",Adults with ADHD; families; partners; clinicians; general readers,"Free Guardian feature. RSD is discussed as an emerging and debated construct, not a formal diagnosis; some treatment claims quoted in the article should be interpreted cautiously.",Final
10-R03,10. Scaffold 10 - Understanding Rejection Sensitivity,Mainstream reported ADHD article,Angela Haupt,The Worst Thing to Say to Someone With ADHD,TIME,"October 22, 2025",https://time.com/7327133/adhd-what-to-say-communication/,"TIME approaches rejection sensitivity from the interpersonal side: repeated comments such as 'try harder,' 'you're too dramatic,' or 'everyone struggles with that' can accumulate into shame, self-criticism, and a sense of being chronically misunderstood.","Useful both for ADHD readers and the people around them. It encourages replacing judgment with curiosity, clarifying intent, asking what support is useful, and recognizing that communication style can either intensify or reduce an already activated rejection response.",Adults with ADHD; partners; families; coworkers; general readers,Mainstream TIME health feature; access may vary.,Final
10-R04,10. Scaffold 10 - Understanding Rejection Sensitivity,Mainstream reported self-help feature,Jillian Anthony,You should be setting rejection goals,Vox,"March 26, 2025",https://www.vox.com/life/400820/you-should-be-setting-rejection-goals,"A readable exploration of fear of rejection that includes ADHD and RSD but also places rejection in a wider human context. The author combines personal experimentation with psychologists, therapists, and people who deliberately practiced tolerating 'no.'","Offers concrete behavioral scaffolds: track attempts instead of only successes, journal reactions, distinguish a rejected request from rejection of the self, and gradually practice situations where a 'no' is possible. This can reduce avoidance and perfectionistic protection.",Adults with ADHD; people with rejection anxiety; professionals; general readers,Public Vox feature. Exposure-style rejection challenges should be adapted to the individual's level of distress and are not a substitute for therapy when rejection reactions are severe.,Final
10-R05,10. Scaffold 10 - Understanding Rejection Sensitivity,First-person mainstream feature / interview,"Alex Partridge, as told to Helen Coffey",'How rejection sensitivity dysphoria almost killed me',The Independent,"February 1, 2026",https://www.independent.co.uk/life-style/rejection-sensitivity-dysphoria-rsd-adhd-b2909415.html,"A vivid first-person account of how seemingly minor criticism can produce rapid changes in mood, catastrophizing, avoidance, people-pleasing, and relationship difficulties. It gives readers an experiential picture that clinical definitions often fail to convey.","Illustrates the usefulness of learning to recognize the rejection response while it is happening, delaying conclusions about another person's intent, naming the pattern, and avoiding immediate protective decisions such as withdrawing, over-apologizing, or abandoning a task or relationship.",Adults with ADHD; partners; families; general readers,Mainstream first-person feature. The RSD label reflects the speaker's lived experience and current clinical discussion; it should not be treated as a formal diagnosis.,Final
11-R01,11. Women with ADHD,Physician-written mainstream feature,"Sarah Oreck, MD, MS",My Patients Are Getting ADHD Diagnoses at 40. Here's What's Really Happening,SELF,"March 2, 2026",https://www.self.com/story/adhd-diagnoses-women-at-40,"A psychiatrist's account of women whose ADHD remained hidden behind elaborate coping systems, perfectionism, overpreparation, anxiety, and chronic self-blame. It also examines why many women reach a breaking point only when responsibilities increase and their compensatory systems stop being enough.","This is especially useful for explaining why scaffolds can conceal impairment while they are working. Calendars, lists, routines, overpreparation, and intense effort may keep someone functioning for years, but the cost of maintaining those systems matters and should be included when evaluating support needs.",Adult women with ADHD; clinicians; partners; families; general readers,"Public SELF article. The piece discusses hormonal transitions as one factor, but Section 12 should carry the deeper hormone-specific material.",Final
11-R02,11. Women with ADHD,Psychologist-written public article,"Michelle Frank, PsyD",How ADHD Manifests Differently in Women,Psychology Today,"January 27, 2025",https://www.psychologytoday.com/us/blog/empowered-with-adhd/202501/how-adhd-manifests-differently-in-women,"Explains why ADHD is frequently missed or misdiagnosed in women, including less externally disruptive presentations, masking, gender expectations, internalized distress, and the tendency to interpret executive-function problems as anxiety, depression, or personal inadequacy.","Helps readers distinguish apparent competence from sustainable functioning. A woman may look organized because she is using extensive compensatory systems behind the scenes. The scaffold question becomes not only 'Can she do it?' but 'What structure makes it possible, and what does that structure cost her?'",Women with ADHD; families; clinicians; educators; general readers,Free public Psychology Today article.,Final
11-R03,11. Women with ADHD,Mainstream long-form lived-experience feature,Em Rusciano,"The lost girls: 'Chaotic and curious, women with ADHD all have missed red flags that haunt us'",The Guardian,"November 2, 2020",https://www.theguardian.com/society/2020/nov/02/the-lost-girls-chaotic-and-curious-women-with-adhd-all-have-missed-red-flags-that-haunt-us,"A powerful first-person account of late-recognized ADHD in women and the years of shame, burnout, perfectionism, emotional intensity, and failed explanations that can precede diagnosis. It makes the consequences of being overlooked more concrete than a symptom checklist can.","Useful for reframing lifelong coping behaviors as information rather than character flaws. It supports building practical systems around organization, emotional regulation, sensory load, and recovery from overwhelm while reducing the shame that often prevents people from asking for support.",Adult women with ADHD; families; partners; clinicians; general readers,Free Guardian feature. First-person experience should be read as illustrative rather than universal.,Final
11-R04,11. Women with ADHD,Mainstream reported culture / health feature,Katie Reilly,"For Some Women With ADHD, TikTok Is the First Place They Felt Heard",TIME,"September 12, 2022",https://time.com/6211695/adhd-tiktok-women/,"Examines how women who were missed in childhood are recognizing ADHD through social media, including women from groups historically less likely to receive timely diagnosis. It also addresses the tension between community and recognition on one hand and misleading symptom content on the other.","Useful for teaching readers to treat relatable ADHD content as a prompt for observation rather than proof of diagnosis. Personal inventories, symptom histories, and real-world impairment can be documented and then taken to a qualified clinician rather than relying on an algorithmic feed.",Women wondering about ADHD; younger adults; families; clinicians; general readers,TIME feature; access may vary. The article explicitly discusses misinformation risk and the importance of professional assessment.,Final
11-R05,11. Women with ADHD,First-person essay / book excerpt,Carla Ciccone,How ADHD Shaped My Life Without Me Knowing It,ELLE,"September 9, 2025",https://www.elle.com/culture/books/a65994230/nowhere-girls-book-excerpt-women-adhd-2025/,"A compelling account of receiving an ADHD diagnosis at 39 and then reinterpreting decades of daydreaming, disorganization, shame, masking, and self-criticism. Ciccone also discusses the historical exclusion of girls and women from much of the early ADHD research and interviews women diagnosed in adulthood.","Shows how diagnosis and self-observation can shift the task from moral judgment to problem solving. Once patterns are named, readers can begin building systems and workarounds around their actual executive-function profile rather than repeatedly demanding that themselves behave like someone without those difficulties.",Adult women with ADHD; younger women; general readers; clinicians interested in lived experience,Public ELLE excerpt; access may vary. The piece is autobiographical and should be paired with the research database for empirical claims.,Final
12-R01,12. Hormones & ADHD,Therapist-written public article,"Cassandra Miasnikov, LPCA",Why Is My ADHD Worse Before My Period?,Psychology Today,"August 31, 2026",https://www.psychologytoday.com/us/blog/missed-and-masked/202608/why-is-my-adhd-worse-before-my-period,"A timely, research-linked explanation of why some people report worsening inattention, executive dysfunction, emotional regulation, and medication response during the luteal and menstrual phases. It also explains the estrogen-dopamine hypothesis without pretending the evidence is complete.","Strong fit for symptom tracking: record cycle phase alongside distractibility, task initiation, mood, sleep, and perceived medication response for at least two cycles, then bring recurring patterns to a clinician rather than relying on memory alone.",Women and other people with ADHD who menstruate; clinicians; partners; general readers,"Free public Psychology Today article. The research base is still limited, and medication changes should only be made with the prescribing clinician.",Final
12-R02,12. Hormones & ADHD,Researcher-written mainstream feature,Jessica Agnew-Blais,What is PMDD? Study finds link between serious condition and women with ADHD,The Independent / The Conversation,"September 26, 2025",https://www.independent.co.uk/life-style/health-and-families/pmdd-symptoms-adhd-treatment-b2834515.html,"Written by a researcher involved in the study, this article explains evidence that women with ADHD in the sample were substantially more likely to screen positive for provisional PMDD and describes the functional seriousness of premenstrual mood and cognitive symptoms.","Helps separate ordinary premenstrual difficulty from a recurring pattern severe enough to warrant assessment. Prospective symptom tracking across cycles can make timing, severity, and impairment visible and give clinicians better information than retrospective impressions alone.",Women with ADHD; clinicians; partners; general readers,Mainstream article republished from The Conversation. The study identified provisional PMDD by screening; formal PMDD diagnosis requires prospective symptom tracking.,Final
12-R03,12. Hormones & ADHD,Mainstream reported health feature,Rachel Reiff Ellis,Is It Perimenopause or ADHD?,SELF,"January 30, 2026",https://www.self.com/story/perimenopause-adhd-symptoms,"A useful differential-diagnosis piece because perimenopause and ADHD can both involve forgetfulness, brain fog, emotional changes, and difficulty concentrating. Experts explain that perimenopause may worsen previously compensated ADHD, but new midlife cognitive symptoms should not automatically be labeled ADHD.","Encourages readers to build a timeline: childhood patterns, longstanding executive-function difficulties, menstrual changes, sleep, hot flashes, and the point at which functioning changed. That history helps distinguish lifelong ADHD from newer hormonal cognitive symptoms or a combination of both.",Women in midlife; adults considering ADHD assessment; clinicians; general readers,"Public SELF article. ADHD is neurodevelopmental and does not begin for the first time in perimenopause, although hormonal change may expose or intensify previously overlooked symptoms.",Final
12-R04,12. Hormones & ADHD,Expert interview / podcast,Dr. Louise Newson interviewed by Alex Partridge,How Hormones and Menopause Impact ADHD Women,ADHD Chatter Podcast / YouTube,"April 7, 2025",https://www.youtube.com/watch?v=ISPw9IGhWeU,"A long-form conversation with a physician and menopause specialist covering menstrual-cycle changes, contraception, perimenopause, menopause, emotional regulation, and the practical problems women report when established ADHD strategies stop working during hormonal transitions.","Useful as an interview companion to the written material because it encourages readers to notice timing, identify which supports fail during hormonal shifts, and discuss both ADHD and reproductive-health factors with qualified clinicians instead of treating them as unrelated systems.",Women with ADHD; partners; clinicians; general listeners,Free video/podcast. It is educational content rather than individualized medical advice; claims about hormone therapy or treatment should be discussed with an appropriately qualified clinician.,Final
12-R05,12. Hormones & ADHD,Medically reviewed lifecycle explainer,"Katie Mannion; medically reviewed by Nicole Washington, DO, MPH",ADHD and Hormonal Changes in Women,Healthline,"Updated June 9, 2025",https://www.healthline.com/health/adhd/adhd-and-hormonal-changes-in-women,"Provides a readable lifespan overview of puberty, menstruation, pregnancy, postpartum, perimenopause, and menopause, making it easier for readers to see hormone-related ADHD questions as a recurring life-course issue rather than a problem confined to one age.","Its symptom-journal approach is particularly useful: track medication timing, mood, sleep, eating, cycle phase, and symptom changes together. That turns an impression such as 'my ADHD randomly gets worse' into data that can be reviewed for patterns.",Women with ADHD; adolescents and families; clinicians; general readers,"Free medically reviewed article. Evidence for hormone-related ADHD changes is growing but remains limited, particularly for pregnancy, postpartum, menopause, and medication-response adjustments.",Final
13-R01,13. ADHD Comorbidities,Public clinical overview,Psychology Today editors; reviewed by Devon Frye,ADHD and Related Conditions,Psychology Today,"Reviewed April 9, 2026",https://www.psychologytoday.com/us/basics/adhd/adhd-and-comorbid-conditions,"A useful public overview of the fact that ADHD frequently occurs alongside other psychiatric and neurodevelopmental conditions, including depression, anxiety, autism, learning disorders, OCD, bipolar disorder, and substance-use problems.","Provides the framing needed before applying ADHD supports: a scaffold aimed at attention or executive function may not address anxiety, depression, OCD, autism-related sensory needs, or another co-occurring condition. Effective support often requires knowing which difficulty belongs to which problem.",Adults with ADHD; families; clinicians; educators; general readers,"Free public Psychology Today overview. Prevalence estimates vary across populations and studies, and co-occurrence should not be inferred from symptom overlap alone.",Final
13-R02,13. ADHD Comorbidities,Mainstream expert health feature,"Daphne Berryhill; medically reviewed by Ziv Cohen, MD",ADHD And Anxiety: Connections And How To Cope,Forbes Health,"July 5, 2024",https://www.forbes.com/health/mind/adhd-and-anxiety/,"Explains how ADHD and anxiety can occur together, intensify one another, and create overlapping problems with concentration, restlessness, sleep, and executive functioning. Expert commentary also addresses why diagnosis and treatment can become more complicated when both are present.","Encourages identifying whether a problem is being driven by distractibility, worry, avoidance, physiological anxiety, or some combination. That distinction helps determine whether a practical executive-function scaffold is enough or whether anxiety-specific treatment and coping strategies also need to be added.",Adults with ADHD and anxiety; families; clinicians; general readers,"Forbes Health article; access may vary. Treatment for co-occurring ADHD and anxiety is individualized, and medication decisions should be made with a qualified prescriber.",Final
13-R03,13. ADHD Comorbidities,Medically reviewed public explainer,"Erica Roth; medically reviewed by Nicole Washington, DO, MPH",ADHD and Depression: What's the Link?,Healthline,"Updated July 29, 2025",https://www.healthline.com/health/adhd/depression,"Explains the substantial overlap between ADHD and depressive disorders, including shared symptoms such as poor concentration, restlessness, sleep disruption, low motivation, and impaired functioning. It also distinguishes depression as a separate condition that may require its own treatment.","Important because failure to initiate a task is not always an executive-function problem alone. Tracking mood, pleasure, energy, sleep, hopelessness, and the persistence of symptoms can help show when ordinary ADHD scaffolds are no longer addressing the full clinical picture.",Adults and teens with ADHD; families; clinicians; general readers,Free medically reviewed Healthline article. Depression and suicidal thoughts require appropriate clinical assessment; Section 23 separately addresses ADHD and suicidality.,Final
13-R04,13. ADHD Comorbidities,Medically reviewed neurodiversity explainer,"Mia Blake; medically reviewed by Nicole Washington, DO, MPH",AuDHD: What does it mean to have both ADHD and autism?,Medical News Today,"Updated October 21, 2024",https://www.medicalnewstoday.com/articles/audhd,"A readable explanation of co-occurring autism and ADHD, including areas of overlap such as executive functioning, hyperfocus, social difficulty, emotional regulation, and sensory differences, as well as the apparently contradictory needs that can emerge when both conditions are present.","Strong example of why individualized supports matter. Someone may simultaneously need novelty and routine, stimulation and sensory protection, or flexibility and predictability. A useful scaffold has to accommodate the interaction between both conditions rather than treating one diagnosis in isolation.",Autistic people with ADHD; adults exploring AuDHD; families; clinicians; general readers,"Free medically reviewed article. 'AuDHD' is a community term for co-occurring autism and ADHD, not a separate DSM diagnosis.",Final
13-R05,13. ADHD Comorbidities,Mainstream interview / lived experience,Emine Saner interviewing Alex Partridge,"'It brought out the most vile side of lad culture': Unilad founder Alex Partridge on online hate, alcoholism and ADHD",The Guardian,"January 17, 2025",https://www.theguardian.com/society/2025/jan/17/vile-side-lad-culture-unilad-founder-alex-partridge-online-hate-alcoholism-adhd,"A compelling lived-experience interview showing ADHD alongside longstanding anxiety and severe alcohol problems. It makes the idea of comorbidity concrete by showing how distress, impulsivity, reward seeking, identity, work pressure, and substance use can become intertwined rather than occurring as neatly separated diagnoses.","Demonstrates why substance use cannot simply be treated as a bad habit layered on top of ADHD. Supports need to address triggers, reward seeking, emotional regulation, environment, accountability, sober routines, and the underlying ADHD-related vulnerabilities at the same time.",Adults with ADHD; people in recovery; families; clinicians; general readers,Free Guardian interview. One person's experience should not be generalized to all people with ADHD or substance-use disorders.,Final
14-R01,14. Differential Diagnosis & Misdiagnosis,Mainstream reported feature / lived experience,Hannah Harris Green,"When it comes to adult ADHD, the US medical system is falling behind",The Guardian,"July 8, 2023",https://www.theguardian.com/society/2023/jul/08/adult-adhd-us-medical-system-tiktok-demand,"A particularly strong public example of differential diagnosis. One woman sought an ADHD evaluation after recognizing herself in social-media content, but a full assessment instead linked her attention problems to PTSD and chronic fight-or-flight activation. The article also profiles someone previously diagnosed with ADHD whose later clinicians suspected autism and PTSD.","Reinforces the need to track when symptoms began, what triggers them, whether they occur across settings, and whether they change when trauma activation or stress decreases. The same outward difficulty with attention may require a very different intervention depending on its source.",Adults considering ADHD assessment; clinicians; families; general readers,Free Guardian feature. The article emphasizes both underdiagnosis and misdiagnosis and argues for thorough assessment rather than assuming either explanation in advance.,Final
